AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
ANGLIAN - NORTHERN,LOWER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HARPERS BROOK,93812,1,SP,98400,79800,SP9840079800,498400,279800,GB105032045230,,,,,,06/07/2002,30/08/2006,2,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ALLEN (CAMEL),10126,1,SX,04550,75910,SX0455075910,204550,075910,GB108049007050,25.4,5.330,248.0,52.8,31/05/2012,22/07/2010,22/07/2010,1,False
MIDLANDS - CENTRAL,MEASE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MEASE,52491,2,SK,19236,13939,SK1923613939,419236,313939,GB104028046560,1.0,20.900,104.0,188.5,01/01/1995,08/07/2003,02/07/2014,8,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOLTON BROOK,35270,1,SP,61807,06231,SP6180706231,461807,206231,GB106039030360,0.9,15.300,147.0,231.0,01/01/1995,07/09/2010,02/09/2016,3,False
NORTH WEST - NORTH,DUDDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACK BECK (DUDDON),67993,2,SD,18640,84059,SD1864084059,318640,484059,GB112074069850,0.6,6.000,369.0,24.6,01/01/1995,27/08/2003,19/08/2015,5,False
MIDLANDS - EAST,EREWASH,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EREWASH,92361,2,SK,51900,33500,SK5190033500,451900,333500,GB104028053110,0.6,32.000,43.0,203.0,04/10/2012,20/06/1995,17/08/2007,7,False
MIDLANDS - WEST,SEVERN (ABOVE BEWDLEY),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SEVERN,143456,2,SO,84701,53184,SO8470153184,384701,253184,GB109054049144,,,,,,25/09/2006,25/09/2006,1,False
NORTH EAST - NORTH EAST,"TWEED, TILL AND TRIBS",WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LILBURN BURN,1635,2,NU,02761,24217,NU0276124217,402761,624217,GB102021072900,17.0,12.400,450.0,69.3,01/01/1995,07/08/2017,24/08/2021,3,False
SOUTH WEST - SOUTH WESSEX,CALE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CALE,156840,1,ST,71204,29132,ST7120429132,371204,129132,GB108043015850,10.0,7.000,180.0,,,27/06/2011,19/09/2012,2,False
SOUTHERN - KENT & E. SUSSEX,DARENT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SHUTTLE,142014,2,TQ,48090,73750,TQ4809073750,548090,173750,GB106040024210,3.0,7.500,102.0,197.0,04/10/2012,12/08/2009,12/08/2009,1,False
SOUTH WEST - CORNWALL,ST AUSTELL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PORTHOLLAND STREAM,8759,1,SW,95680,41800,SW9568041800,195680,041800,GB108048002210,18.0,5.520,,,,08/08/2012,08/08/2012,1,False
NORTH WEST - NORTH,LYNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHITE LYNE,67618,2,NY,54800,74500,NY5480074500,354800,574500,GB102077074270,13.0,4.500,442.0,98.3,27/11/2013,19/06/2013,19/06/2013,1,False
MIDLANDS - WEST,COUND (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROW BROOK,167709,1,SJ,52916,02102,SJ5291602102,352916,302102,GB109054049420,5.5,2.400,153.0,151.3,04/03/2014,02/08/2013,02/08/2013,1,False
SOUTHERN - SOLENT & S. DOWNS,ITCHEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ITCHEN NAVIGATION,110185,2,SU,47240,24280,SU4724024280,447240,124280,GB107042022580,5.6,1.940,83.0,233.0,04/10/2012,20/07/2002,07/08/2009,18,False
MIDLANDS - EAST,TRENT (LOWER),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CUTTLE BROOK (TRENT (LOWER)),49322,2,SK,34870,32690,SK3487032690,434870,332690,GB104028053130,7.1,1.000,,,,14/07/2011,14/07/2011,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER (THAMES),34895,1,SU,86779,49019,SU8677949019,486779,149019,GB106039017180,1.3,2.340,,,,01/07/1994,19/08/1996,3,False
MIDLANDS - WEST,AVON (BELOW BIDFORD) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,AVON (LS - BELOW BIDFORD),89714,2,SO,91950,38450,SO9195038450,391950,238450,GB109054044403,,,,,,26/07/1995,13/08/2002,10,False
NORTH WEST - NORTH,IRTHING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BUTTER BURN,65380,2,NY,67759,74291,NY6775974291,367759,574291,GB102076074070,6.6,10.000,341.0,30.2,01/01/1995,01/08/2007,15/07/2014,3,False
MIDLANDS - EAST,MAUN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MAUN,92369,2,SK,64523,67137,SK6452367137,464523,367137,GB104028058040,2.5,19.500,162.0,162.0,04/10/2012,27/09/1994,15/08/2008,12,False
SOUTH WEST - CORNWALL,COASTAL - 25A,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ISSEY BROOK,88218,1,SW,92050,71860,SW9205071860,192050,071860,GB108049000110,15.0,4.600,134.0,60.0,01/01/2003,28/06/2007,11/06/2008,2,False
MIDLANDS - CENTRAL,BLACK / BOURNE BROOK (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRANE BROOK,53814,2,SK,10399,05328,SK1039905328,410399,305328,GB104028046480,3.3,5.300,122.7,118.9,01/01/1995,19/06/2013,02/09/2014,2,False
MIDLANDS - CENTRAL,TEAN (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEAN,51718,2,SK,04505,37159,SK0450537159,404505,337159,GB104028052450,4.2,15.000,,158.8,01/01/1995,31/07/2012,31/07/2012,1,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),36013,1,TQ,26070,39750,TQ2607039750,526070,139750,GB106039017480,1.3,10.374,115.0,88.8,01/01/1995,22/08/2011,22/08/2011,1,False
MIDLANDS - WEST,SEVERN (BELOW TEWKESBURY),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CONE BROOK,54036,2,SO,59890,00460,SO5989000460,359890,200460,GB109054026560,8.3,4.600,185.0,189.4,01/01/1995,26/07/2012,26/07/2012,1,False
NORTH EAST - YORKSHIRE,SWALE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BIRDFORTH/ELPHIN/GREENS BECKS,202192,1,SE,51550,76433,SE5155076433,451550,476433,GB104027068790,4.6,6.000,223.0,,,11/06/2021,11/06/2021,1,False
NORTH EAST - YORKSHIRE,CALDER (NE RIDINGS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OWLER BECK,180271,1,SE,33189,16308,SE3318916308,433189,416308,GB104027062530,2.0,8.400,73.0,119.0,29/06/2016,11/09/2015,11/09/2015,1,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BUCKNALL CATCHWATER TRIB 1,153682,1,TF,17164,68790,TF1716468790,517164,368790,GB105030062440,,,,,,06/08/2009,06/08/2009,1,False
NORTH EAST - YORKSHIRE,ESK (DALES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ESK,159717,1,NZ,90425,10263,NZ9042510263,490425,510263,GB104027068140,,3.700,,,,12/08/2012,12/08/2012,1,False
NORTH EAST - NORTH EAST,WEAR AND TRIBS (DURHAM- BISHOP AUCKLAND),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CROXDALE BECK,1861,2,NZ,27171,37897,NZ2717137897,427171,537897,GB103024077410,10.0,10.000,100.0,154.0,01/01/1995,05/09/2012,11/07/2018,3,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYD,8885,1,SX,44130,83320,SX4413083320,244130,083320,GB108047007750,6.6,15.100,539.0,23.1,01/01/1995,04/09/2008,08/07/2015,3,False
NORTH EAST - NORTH EAST,WEAR AND TRIBS (DURHAM- BISHOP AUCKLAND),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SHERBURN HOUSE BECK,1857,2,NZ,32003,41789,NZ3200341789,432003,541789,GB103024077490,26.4,7.500,145.0,245.0,01/01/1995,31/07/2012,24/07/2014,2,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAVY,92592,1,SX,47200,72100,SX4720072100,247200,072100,,,,,,,18/05/1995,21/08/1996,4,False
SOUTH WEST - SOUTH WESSEX,BRIT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ASKER,10923,1,SY,48715,94134,SY4871594134,348715,094134,GB108044009580,5.0,7.000,110.0,238.4,01/01/1995,12/08/2003,16/08/2004,2,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SCOTSGROVE BROOK,35947,1,SP,75153,07703,SP7515307703,475153,207703,GB106039030270,0.8,14.650,117.0,254.0,01/01/1995,22/08/2013,22/08/2013,1,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FULBECK BECK,153671,1,SK,94038,50773,SK9403850773,494038,350773,GB105030056120,,,,,,31/07/2009,31/07/2009,1,False
THAMES - WEST,COLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LENTA BROOK,35118,1,SU,22458,85720,SU2245885720,422458,185720,GB106039022870,4.3,4.000,,235.0,01/01/1995,24/08/2011,24/08/2011,1,False
SOUTH WEST - SOUTH WESSEX,LOWER STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (SW - LOWER),8647,1,SZ,13135,95733,SZ1313595733,413135,095733,GB108043011040,0.7,89.000,205.0,193.8,01/01/2000,30/08/2007,20/08/2018,4,False
MIDLANDS - WEST,HOO BROOK (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOO BROOK,160216,1,SO,83305,74692,SO8330574692,383305,274692,GB109054044530,0.1,16.200,250.0,145.1,01/11/2013,16/08/2012,16/08/2012,1,False
MIDLANDS - EAST,SOAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOAR,92860,2,SK,59300,14700,SK5930014700,459300,314700,GB104028047211,0.8,43.000,130.0,196.0,01/03/2013,14/09/1998,09/08/2000,4,False
NORTH EAST - YORKSHIRE,DERWENT (DALES),WBCN,CANAL: Artificial water course primarily used for navigation,POCKLINGTON CANAL,92257,2,SE,75800,44400,SE7580044400,475800,444400,,3.3,11.000,,,,23/09/1994,31/07/1996,4,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THE CUT,154980,1,SU,87082,71545,SU8708271545,487082,171545,GB106039017680,2.7,7.700,103.0,151.0,04/10/2012,27/07/2010,26/07/2016,3,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WALKHAM,10752,1,SX,49060,70890,SX4906070890,249060,070890,GB108047007870,7.4,18.400,505.0,15.0,01/01/1995,10/08/2007,15/07/2015,6,False
MIDLANDS - EAST,WYE (LT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WYE (LT),92875,2,SK,08100,72400,SK0810072400,408100,372400,,,,,,,07/08/1998,22/08/2000,4,False
NORTH WEST - NORTH,BROCK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NEW DRAUGHT,67229,2,SD,47926,40139,SD4792640139,347926,440139,GB112072065790,1.0,19.000,76.0,143.0,01/01/1995,30/08/2006,10/07/2014,3,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBDY,DYKE: Natural or artificial watercourse primarily used for land drainage,DORRINGTON DYKE,160636,1,TF,13086,53617,TF1308653617,513086,353617,GB105030056175,0.2,2.500,18.0,215.0,06/02/2014,25/07/2013,23/08/2016,2,False
MIDLANDS - CENTRAL,REA (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURN BROOK,53369,2,SP,00094,83412,SP0009483412,400094,283412,GB104028042540,9.3,1.600,,,,16/08/2011,16/08/2011,1,False
ANGLIAN - EASTERN,ROMAN RIVER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROMAN RIVER,149953,1,TL,98400,20570,TL9840020570,598400,220570,GB105037034150,0.5,15.000,59.0,157.1,05/03/2014,05/08/2008,27/09/2012,2,False
SOUTH WEST - SOUTH WESSEX,WYLYE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WYLYE,186908,1,SU,10800,30899,SU1080030899,410800,130899,GB108043022510,1.1,47.000,150.0,207.0,01/01/2017,15/07/2016,15/07/2016,1,False
NORTH EAST - YORKSHIRE,AIRE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,AIRE,157220,1,SE,18674,39042,SE1867439042,418674,439042,GB104027063032,1.6,56.700,444.0,135.0,11/01/2015,03/08/2011,30/08/2013,4,False
SOUTH WEST - SOUTH WESSEX,BRIT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SIMENE,10921,1,SY,45920,92882,SY4592092882,345920,092882,GB108044010110,2.0,8.000,125.0,191.7,01/07/2011,07/07/2004,26/06/2015,3,False
SOUTHERN - KENT & E. SUSSEX,DARENT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DARENT,43534,2,TQ,55378,67337,TQ5537867337,555378,167337,GB106040024222,1.5,26.490,142.0,194.0,04/10/2012,16/07/2008,16/07/2008,1,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EXE,153423,1,SS,93530,01550,SS9353001550,293530,101550,GB108045015050,,,,,,01/09/2009,17/08/2010,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BARLINGS EAU,153410,1,TF,04969,81479,TF0496981479,504969,381479,GB105030062290,0.3,7.500,22.0,,,07/09/2009,07/09/2009,1,False
NORTH WEST - NORTH,PENDLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WALVERDON WATER,157082,1,SD,86633,37416,SD8663337416,386633,437416,GB112071065130,24.0,6.200,347.0,97.5,14/02/2014,29/08/2013,30/07/2014,2,False
ANGLIAN - NORTHERN,UPPER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BUGBROOKE,161759,1,SP,67500,57400,SP6750057400,467500,257400,GB105032045280,3.6,9.000,135.0,182.0,06/02/2014,30/07/2013,20/07/2016,2,False
NORTH EAST - YORKSHIRE,SWALE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WISKE,354,2,SE,37731,84778,SE3773184778,437731,484778,GB104027069530,0.8,39.000,193.0,194.7,01/01/1995,26/06/2013,25/07/2014,2,False
SOUTH WEST - NORTH WESSEX,LUCKINGTON AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTON BROOK,160183,1,ST,90142,86149,ST9014286149,390142,186149,GB109053027680,3.6,5.700,110.0,232.2,01/03/2013,05/10/2012,28/08/2014,2,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CUTTLE BROOK,154229,1,SP,70735,02869,SP7073502869,470735,202869,GB106039023840,9.2,0.600,102.0,100.0,04/10/2012,03/09/2013,03/09/2013,1,False
MIDLANDS - WEST,WYE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WYE (WALES),92343,2,SO,56669,35784,SO5666935784,356669,235784,GB109055037112,0.6,145.000,,,,18/08/1994,07/08/2006,15,False
NORTH EAST - NORTH EAST,NORTH TYNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HARESHAW BURN,155645,1,NY,84146,84660,NY8414684660,384146,584660,GB103023075020,50.0,7.000,320.0,81.0,01/06/2012,26/09/2011,26/09/2011,1,False
SOUTHERN - KENT & E. SUSSEX,OUSE (SUSSEX),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LITTLE HORSTEAD STREAM,154512,1,TQ,46108,18532,TQ4610818532,546108,118532,GB107041012590,1.8,7.800,40.0,85.5,01/01/2012,23/07/2012,23/07/2012,1,False
NORTH EAST - NORTH EAST,KYM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOWDENE BURN,76356,2,NZ,10800,65300,NZ1080065300,410800,565300,GB103023075790,54.6,5.100,93.0,66.2,15/03/2013,07/06/2013,07/06/2013,1,False
THAMES - WEST,THAMES SOURCE TO TEDDINGTON (W SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FILCHAMPSTEAD BROOK,166155,1,SP,45187,06602,SP4518706602,445187,206602,GB106039030210,1.5,3.650,64.0,202.0,01/10/2013,09/08/2013,09/09/2014,2,False
ANGLIAN - CENTRAL,MIDDLE LEVELS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BURY BROOK,56169,1,TL,28609,83749,TL2860983749,528609,283749,GB105033043140,0.2,16.000,40.0,226.0,04/10/2012,19/08/2003,12/08/2015,3,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GLEN,157597,1,TF,09685,13452,TF0968513452,509685,313452,GB105031050720,,,,,,01/07/2011,01/07/2011,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER (THAMES),92606,1,SU,82600,61400,SU8260061400,482600,161400,,1.1,19.000,,,,31/07/1995,24/07/1996,2,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOLE (THAMES),159985,1,TQ,27181,42251,TQ2718142251,527181,142251,GB106039017510,,,,,,04/09/2012,04/09/2012,1,False
SOUTH WEST - CORNWALL,FAL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CARNON RIVER,144484,1,SW,78797,39719,SW7879739719,178797,039719,GB108048001230,5.7,9.100,86.0,13.0,04/10/2012,16/09/2008,19/09/2014,3,False
THAMES - SOUTH EAST,CHERTSEY BOURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURNE (S),155562,1,SU,96422,60840,SU9642260840,496422,160840,GB106039017920,1.3,6.200,79.0,75.0,04/10/2012,04/08/2010,04/08/2010,1,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THAMES (SE AREA),197071,1,TQ,08485,66040,TQ0848566040,508485,166040,GB106039023232,,,,,,09/09/2019,09/09/2019,1,False
SOUTH WEST - SOUTH WESSEX,NADDER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NADDER TRIB (SWALLOWCLIFFE),202697,1,ST,95305,29409,ST9530529409,395305,129409,GB108043016180,,,,,,14/07/2021,14/07/2021,1,False
MIDLANDS - CENTRAL,AVON (ABOVE SOWE) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,YELVERTOFT BROOK,50779,2,SP,56450,77710,SP5645077710,456450,277710,GB109054043920,1.7,10.000,183.0,131.2,01/01/1995,29/08/2013,11/08/2016,2,False
SOUTH WEST - DEVON,AXE (DEVON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FORTON BROOK,161120,1,ST,33622,05538,ST3362205538,333622,105538,GB108045014820,5.1,4.100,95.0,188.0,01/01/2013,27/09/2013,08/07/2015,2,False
SOUTHERN - SOLENT & S. DOWNS,ADUR EAST,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WOODSMILL STREAM,158001,1,TQ,21588,13706,TQ2158813706,521588,113706,GB107041012060,0.7,7.000,69.0,182.6,01/01/2013,20/09/2011,08/08/2012,2,False
NORTH EAST - NORTH EAST,SKERNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SKERNE,191478,1,NZ,33000,29945,NZ3300029945,433000,529945,GB103025072430,,,,,,17/07/2018,27/09/2019,2,False
NORTH EAST - YORKSHIRE,DON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SHEAF,165427,1,SK,33581,83128,SK3358183128,433581,383128,GB104027057750,11.4,7.800,375.0,73.0,31/01/2014,10/07/2013,30/07/2015,2,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THAMES (SE AREA),188056,1,TQ,17414,71171,TQ1741471171,517414,171171,GB106039023232,0.1,240.200,217.0,,,09/09/2019,09/09/2019,1,False
SOUTH WEST - DEVON,AXE (DEVON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER RIVER,9418,1,ST,33010,02170,ST3301002170,333010,102170,GB108045008850,7.7,6.750,150.0,58.8,01/01/1995,14/08/2012,24/06/2015,2,False
MIDLANDS - CENTRAL,DOVE(UPPER) (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DOVE (DOVE(UPPER)),92846,2,SK,15973,46099,SK1597346099,415973,346099,GB104028052670,3.5,36.000,512.0,152.0,04/10/2012,19/08/2002,29/08/2017,5,False
MIDLANDS - EAST,RYTON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RYTON,157464,1,SK,63967,89630,SK6396789630,463967,389630,GB104028058101,,,,,,07/07/2011,07/07/2011,1,False
SOUTHERN - KENT & E. SUSSEX,ROYAL MILITARY CANAL (1),WBCN,CANAL: Artificial water course primarily used for navigation,ROYAL MILITARY CANAL,157753,1,TQ,94978,27652,TQ9497827652,594978,127652,GB107040013670,0.2,,,,,13/09/2012,13/09/2012,1,False
THAMES - WEST,OCK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OCK,203253,1,SU,43719,96174,SU4371996174,443719,196174,GB106039023430,1.0,19.450,110.0,,,27/08/2020,27/08/2020,1,False
SOUTHERN - KENT & E. SUSSEX,EAST SUSSEX STREAMS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EAST STREAM,42058,2,TQ,68730,08000,TQ6873008000,568730,108000,GB107041012430,1.4,5.000,27.0,69.2,01/01/1995,03/07/2012,03/07/2012,1,False
MIDLANDS - CENTRAL,DOVE(LOWER) (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DOVE,48286,2,SK,16304,31118,SK1630431118,416304,331118,GB104028052420,1.2,67.000,452.0,163.0,04/10/2012,21/08/2002,26/09/2008,2,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THAMES (SE AREA),142690,1,SU,90003,85751,SU9000385751,490003,185751,GB106039023233,0.3,186.000,,,,18/07/2006,18/07/2006,1,False
NORTH WEST - NORTH,DARWEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RODDLESWORTH,98941,2,SD,64521,24307,SD6452124307,364521,424307,GB112071065250,12.0,7.300,299.0,102.9,29/11/2013,18/08/2003,24/06/2013,3,False
NORTH WEST - SOUTH,SANKEY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SANKEY,67307,2,SJ,56201,94901,SJ5620194901,356201,394901,GB112069061200,0.8,14.800,70.0,127.0,01/01/2013,18/06/2015,03/07/2018,2,False
SOUTH WEST - CORNWALL,PAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PAR RIVER,93481,1,SX,03630,58790,SX0363058790,203630,058790,GB108048002310,3.1,5.300,,19.0,01/01/2004,20/07/2006,20/07/2006,1,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THAME,35926,1,SU,59358,98706,SU5935898706,459358,198706,GB106039030240,0.5,66.510,,,,14/09/2004,22/07/2008,3,False
MIDLANDS - CENTRAL,BLITHE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLITHE,52509,2,SJ,97494,39292,SJ9749439292,397494,339292,GB104028052290,3.8,11.000,198.0,154.9,01/01/1995,10/07/2003,05/08/2008,3,False
